"gene","removal_reason"
"Phvul.009G050000","no readcount"
"Phvul.009G052200","no readcount"
"Phvul.009G057000","no readcount"
"Phvul.009G060200","no readcount"
"Phvul.009G062900","no readcount"
"Phvul.009G069000","no readcount"
"Phvul.009G069100","no readcount"
"Phvul.009G070600","no readcount"
"Phvul.009G071400","no readcount"
"Phvul.009G071700","no readcount"
"Phvul.009G075200","no readcount"
"Phvul.009G079300","no readcount"
"Phvul.009G082900","no readcount"
"Phvul.009G087300","no readcount"
"Phvul.009G087900","no readcount"
"Phvul.009G088700","no readcount"
"Phvul.009G089500","no readcount"
"Phvul.009G090260","no readcount"
"Phvul.009G091200","no readcount"
"Phvul.009G099400","no readcount"
"Phvul.009G102500","no readcount"
"Phvul.009G102800","no readcount"
"Phvul.009G105800","no readcount"
"Phvul.009G108700","no readcount"
"Phvul.009G109200","no readcount"
"Phvul.009G118600","no readcount"
"Phvul.009G118700","no readcount"
"Phvul.009G119000","no readcount"
"Phvul.009G121600","no readcount"
"Phvul.009G129800","no readcount"
"Phvul.009G135200","no readcount"
"Phvul.009G140800","no readcount"
"Phvul.009G144000","no readcount"
"Phvul.009G144850","no readcount"
"Phvul.009G145400","no readcount"
"Phvul.009G155300","no readcount"
"Phvul.009G156100","no readcount"
"Phvul.009G156800","no readcount"
"Phvul.009G158400","no readcount"
"Phvul.009G161400","no readcount"
"Phvul.009G166900","no readcount"
"Phvul.009G167400","no readcount"
"Phvul.009G169300","no readcount"
"Phvul.009G170400","no readcount"
"Phvul.009G176600","no readcount"
"Phvul.009G190400","no readcount"
"Phvul.009G190797","no readcount"
"Phvul.009G194900","no readcount"
"Phvul.009G198300","no readcount"
"Phvul.009G199500","no readcount"
"Phvul.009G202400","no readcount"
"Phvul.009G204400","no readcount"
"Phvul.009G206700","no readcount"
"Phvul.009G208100","no readcount"
"Phvul.009G213200","no readcount"
"Phvul.009G215100","no readcount"
"Phvul.009G219400","no readcount"
"Phvul.009G221000","no readcount"
"Phvul.009G226300","no readcount"
"Phvul.009G230400","no readcount"
"Phvul.009G232100","no readcount"
"Phvul.009G242900","no readcount"
"Phvul.009G254000","no readcount"
"Phvul.010G010050","no readcount"
"Phvul.010G014500","no readcount"
"Phvul.010G015100","no readcount"
"Phvul.010G015500","no readcount"
"Phvul.010G018200","no readcount"
"Phvul.010G018900","no readcount"
"Phvul.010G025400","no readcount"
"Phvul.010G028101","no readcount"
"Phvul.010G028500","no readcount"
"Phvul.010G028800","no readcount"
"Phvul.010G029000","no readcount"
"Phvul.010G034800","no readcount"
"Phvul.010G045000","no readcount"
"Phvul.010G046800","no readcount"
"Phvul.010G048400","no readcount"
"Phvul.010G049900","no readcount"
"Phvul.010G050400","no readcount"
"Phvul.010G051000","no readcount"
"Phvul.010G061700","no readcount"
"Phvul.010G061800","no readcount"
"Phvul.010G062300","no readcount"
"Phvul.010G065300","no readcount"
"Phvul.010G068000","no readcount"
"Phvul.010G069400","no readcount"
"Phvul.010G069800","no readcount"
"Phvul.010G070200","no readcount"
"Phvul.010G072003","no readcount"
"Phvul.010G072700","no readcount"
"Phvul.010G077200","no readcount"
"Phvul.010G086300","no readcount"
"Phvul.010G089600","no readcount"
"Phvul.010G092000","no readcount"
