"gene","removal_reason"
"Vigun04g029200","no readcount"
"Vigun04g029500","no readcount"
"Vigun04g030000","no readcount"
"Vigun04g030200","no readcount"
"Vigun04g030700","no readcount"
"Vigun04g031600","no readcount"
"Vigun04g036200","no readcount"
"Vigun04g036500","no readcount"
"Vigun04g036800","no readcount"
"Vigun04g038100","no readcount"
"Vigun04g039400","no readcount"
"Vigun04g042800","no readcount"
"Vigun04g044300","no readcount"
"Vigun04g044900","no readcount"
"Vigun04g050100","no readcount"
"Vigun04g055200","no readcount"
"Vigun04g056200","no readcount"
"Vigun04g056900","no readcount"
"Vigun04g058500","no readcount"
"Vigun04g060000","no readcount"
"Vigun04g060900","no readcount"
"Vigun04g063300","no readcount"
"Vigun04g064800","no readcount"
"Vigun04g065500","no readcount"
"Vigun04g065600","no readcount"
"Vigun04g065700","no readcount"
"Vigun04g070401","no readcount"
"Vigun04g071700","no readcount"
"Vigun04g077900","no readcount"
"Vigun04g078300","no readcount"
"Vigun04g079700","no readcount"
"Vigun04g081000","no readcount"
"Vigun04g082000","no readcount"
"Vigun04g084450","no readcount"
"Vigun04g085466","no readcount"
"Vigun04g086800","no readcount"
"Vigun04g086900","no readcount"
"Vigun04g091000","no readcount"
"Vigun04g091900","no readcount"
"Vigun04g096300","no readcount"
"Vigun04g096400","no readcount"
"Vigun04g099200","no readcount"
"Vigun04g100200","no readcount"
"Vigun04g105600","no readcount"
"Vigun04g111000","no readcount"
"Vigun04g113200","no readcount"
"Vigun04g116300","no readcount"
"Vigun04g116400","no readcount"
"Vigun04g124400","no readcount"
"Vigun04g124900","no readcount"
"Vigun04g125100","no readcount"
"Vigun04g125700","no readcount"
"Vigun04g127900","no readcount"
"Vigun04g128100","no readcount"
"Vigun04g131500","no readcount"
"Vigun04g134500","no readcount"
"Vigun04g142400","no readcount"
"Vigun04g149400","no readcount"
"Vigun04g152600","no readcount"
"Vigun04g152900","no readcount"
"Vigun04g153200","no readcount"
"Vigun04g157700","no readcount"
"Vigun04g161100","no readcount"
"Vigun04g161600","no readcount"
"Vigun04g163200","no readcount"
"Vigun04g164500","no readcount"
"Vigun04g164600","no readcount"
"Vigun04g165100","no readcount"
"Vigun04g166000","no readcount"
"Vigun04g166400","no readcount"
"Vigun04g169400","no readcount"
"Vigun04g169900","no readcount"
"Vigun04g173200","no readcount"
"Vigun04g174500","no readcount"
"Vigun04g176900","no readcount"
"Vigun04g178300","no readcount"
"Vigun04g182600","no readcount"
"Vigun04g187800","no readcount"
"Vigun04g193500","no readcount"
"Vigun04g194600","no readcount"
"Vigun04g195300","no readcount"
"Vigun04g195500","no readcount"
"Vigun04g195600","no readcount"
"Vigun04g196000","no readcount"
"Vigun04g201000","no readcount"
"Vigun04g203300","no readcount"
"Vigun04g203400","no readcount"
"Vigun05g002200","no readcount"
"Vigun05g002700","no readcount"
"Vigun05g003300","no readcount"
"Vigun05g006200","no readcount"
"Vigun05g006700","no readcount"
"Vigun05g008900","no readcount"
"Vigun05g011200","no readcount"
"Vigun05g013200","no readcount"
"Vigun05g018400","no readcount"
"Vigun05g020700","no readcount"
"Vigun05g029300","no readcount"
"Vigun05g038100","no readcount"
"Vigun05g039800","no readcount"
"Vigun05g044900","no readcount"
"Vigun05g045000","no readcount"
"Vigun05g045500","no readcount"
"Vigun05g046900","no readcount"
"Vigun05g048900","no readcount"
"Vigun05g050200","no readcount"
"Vigun05g051900","no readcount"
"Vigun05g052300","no readcount"
"Vigun05g054900","no readcount"
"Vigun05g056700","no readcount"
"Vigun05g056800","no readcount"
"Vigun05g062300","no readcount"
"Vigun05g063100","no readcount"
"Vigun05g064300","no readcount"
"Vigun05g065100","no readcount"
"Vigun05g069300","no readcount"
"Vigun05g069600","no readcount"
"Vigun05g073600","no readcount"
"Vigun05g074300","no readcount"
"Vigun05g074500","no readcount"
"Vigun05g078700","no readcount"
"Vigun05g078800","no readcount"
"Vigun05g079500","no readcount"
"Vigun05g080400","no readcount"
"Vigun05g080600","no readcount"
"Vigun05g080900","no readcount"
"Vigun05g082400","no readcount"
"Vigun05g085300","no readcount"
"Vigun05g088800","no readcount"
"Vigun05g089000","no readcount"
"Vigun05g095600","no readcount"
"Vigun05g095800","no readcount"
"Vigun05g099400","no readcount"
"Vigun05g103100","no readcount"
"Vigun05g104100","no readcount"
"Vigun05g105600","no readcount"
"Vigun05g105650","no readcount"
"Vigun05g107200","no readcount"
"Vigun05g107600","no readcount"
"Vigun05g109901","no readcount"
"Vigun05g113800","no readcount"
"Vigun05g113900","no readcount"
"Vigun05g115200","no readcount"
"Vigun05g117200","no readcount"
"Vigun05g117500","no readcount"
"Vigun05g119300","no readcount"
"Vigun05g121000","no readcount"
"Vigun05g122200","no readcount"
"Vigun05g122400","no readcount"
"Vigun05g124900","no readcount"
"Vigun05g125500","no readcount"
"Vigun05g126100","no readcount"
"Vigun05g128500","no readcount"
"Vigun05g128600","no readcount"
"Vigun05g130700","no readcount"
"Vigun05g130800","no readcount"
"Vigun05g136700","no readcount"
"Vigun05g139700","no readcount"
"Vigun05g140500","no readcount"
"Vigun05g143425","no readcount"
"Vigun05g144800","no readcount"
"Vigun05g145500","no readcount"
"Vigun05g145800","no readcount"
"Vigun05g149200","no readcount"
"Vigun05g149900","no readcount"
"Vigun05g151100","no readcount"
"Vigun05g151200","no readcount"
"Vigun05g152200","no readcount"
"Vigun05g154500","no readcount"
"Vigun05g154800","no readcount"
"Vigun05g155700","no readcount"
"Vigun05g163025","no readcount"
"Vigun05g167500","no readcount"
"Vigun05g174500","no readcount"
"Vigun05g174700","no readcount"
"Vigun05g175700","no readcount"
"Vigun05g178300","no readcount"
"Vigun05g179300","no readcount"
"Vigun05g179800","no readcount"
"Vigun05g179900","no readcount"
"Vigun05g180400","no readcount"
"Vigun05g180600","no readcount"
"Vigun05g180700","no readcount"
"Vigun05g184700","no readcount"
"Vigun05g184900","no readcount"
"Vigun05g185200","no readcount"
"Vigun05g186900","no readcount"
"Vigun05g187600","no readcount"
"Vigun05g193100","no readcount"
"Vigun05g193700","no readcount"
"Vigun05g194800","no readcount"
"Vigun05g194900","no readcount"
"Vigun05g198800","no readcount"
"Vigun05g200600","no readcount"
"Vigun05g201900","no readcount"
"Vigun05g202000","no readcount"
"Vigun05g202400","no readcount"
"Vigun05g202800","no readcount"
"Vigun05g204000","no readcount"
"Vigun05g204250","no readcount"
"Vigun05g206100","no readcount"
"Vigun05g206300","no readcount"
"Vigun05g211100","no readcount"
"Vigun05g213000","no readcount"
"Vigun05g213300","no readcount"
"Vigun05g213900","no readcount"
"Vigun05g215000","no readcount"
"Vigun05g217600","no readcount"
"Vigun05g218100","no readcount"
"Vigun05g221000","no readcount"
"Vigun05g221400","no readcount"
"Vigun05g221700","no readcount"
"Vigun05g225700","no readcount"
"Vigun05g228300","no readcount"
"Vigun05g228400","no readcount"
"Vigun05g228600","no readcount"
"Vigun05g230500","no readcount"
"Vigun05g230800","no readcount"
"Vigun05g231100","no readcount"
"Vigun05g235400","no readcount"
"Vigun05g236000","no readcount"
"Vigun05g237400","no readcount"
"Vigun05g240900","no readcount"
"Vigun05g242000","no readcount"
"Vigun05g245300","no readcount"
"Vigun05g246100","no readcount"
"Vigun05g246900","no readcount"
"Vigun05g247300","no readcount"
"Vigun05g249300","no readcount"
"Vigun05g249500","no readcount"
"Vigun05g249900","no readcount"
"Vigun05g252000","no readcount"
"Vigun05g252100","no readcount"
"Vigun05g254100","no readcount"
"Vigun05g254800","no readcount"
